Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1992,1992,No,223800.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1993,1993,No,157800.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1994,1994,No,118600.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1995,1995,No,104100.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1996,1996,No,95900.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1997,1997,No,77400.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1998,1998,No,80200.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,1999,1999,No,79500.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2000,2000,No,73000.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2001,2001,No,74800.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2002,2002,No,76100.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2003,2003,No,80900.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2004,2004,No,81100.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2005,2005,No,82800.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2006,2006,No,85000.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2007,2007,No,88300.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2008,2008,No,101400.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2009,2009,No,101600.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2010,2010,No,102600.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2011,2011,No,94000.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2012,2012,No,89800.0,A,Official figure,
QCL,Crops and livestock products,126,Lithuania,5114,Stocks,1181,Bees,2013,2013,No,88300.0,A,Official figure,
