Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1961,1961,3050,FAO TIER 1,An,345151,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1962,1962,3050,FAO TIER 1,An,352310,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1963,1963,3050,FAO TIER 1,An,355126,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1964,1964,3050,FAO TIER 1,An,358165,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1965,1965,3050,FAO TIER 1,An,350259,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1966,1966,3050,FAO TIER 1,An,347294,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1967,1967,3050,FAO TIER 1,An,344213,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1968,1968,3050,FAO TIER 1,An,309762,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1969,1969,3050,FAO TIER 1,An,295947,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1970,1970,3050,FAO TIER 1,An,310402,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1971,1971,3050,FAO TIER 1,An,301264,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1972,1972,3050,FAO TIER 1,An,287394,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1973,1973,3050,FAO TIER 1,An,281909,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1974,1974,3050,FAO TIER 1,An,287493,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1975,1975,3050,FAO TIER 1,An,289077,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1976,1976,3050,FAO TIER 1,An,281880,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1977,1977,3050,FAO TIER 1,An,283438,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1978,1978,3050,FAO TIER 1,An,298091,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1979,1979,3050,FAO TIER 1,An,282352,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1980,1980,3050,FAO TIER 1,An,285339,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1981,1981,3050,FAO TIER 1,An,261796,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1982,1982,3050,FAO TIER 1,An,257364,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1983,1983,3050,FAO TIER 1,An,244100,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1984,1984,3050,FAO TIER 1,An,240521,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1985,1985,3050,FAO TIER 1,An,233358,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1986,1986,3050,FAO TIER 1,An,214434,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1987,1987,3050,FAO TIER 1,An,216000,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1988,1988,3050,FAO TIER 1,An,213000,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1989,1989,3050,FAO TIER 1,An,210000,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1990,1990,3050,FAO TIER 1,An,205163,A,Official figure,
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1990,1990,3051,UNFCCC,An,205163,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,131,Malaysia,5111,Stocks,946,Buffalo,1991,1991,3050,FAO TIER 1,An,139655,A,Official figure,
