Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1961,1961,ha,397,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1961,1961,100 g/ha,10529,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1961,1961,t,418,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1962,1962,ha,399,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1962,1962,100 g/ha,10602,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1962,1962,t,423,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1963,1963,ha,399,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1963,1963,100 g/ha,10677,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1963,1963,t,426,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1964,1964,ha,401,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1964,1964,100 g/ha,10848,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1964,1964,t,435,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1965,1965,ha,399,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1965,1965,100 g/ha,10977,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1965,1965,t,438,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1966,1966,ha,285,E,Estimated value,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1966,1966,100 g/ha,10912,E,Estimated value,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1966,1966,t,311,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1967,1967,ha,225,E,Estimated value,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1967,1967,100 g/ha,14133,E,Estimated value,
QCL,Crops and livestock products,26,Brunei Darussalam,5510,Production,486,Bananas,1967,1967,t,318,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5312,Area harvested,486,Bananas,1968,1968,ha,49,A,Official figure,
QCL,Crops and livestock products,26,Brunei Darussalam,5419,Yield,486,Bananas,1968,1968,100 g/ha,14898,A,Official figure,
