Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1992,1992,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1993,1993,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1994,1994,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1995,1995,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1996,1996,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1997,1997,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1998,1998,An,8500.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,1999,1999,An,8500.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2000,2000,An,8000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2001,2001,An,8500.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2002,2002,An,8500.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2003,2003,An,8500.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2004,2004,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2005,2005,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2006,2006,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2007,2007,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2008,2008,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2009,2009,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2010,2010,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2011,2011,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2012,2012,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2013,2013,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2014,2014,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2015,2015,An,9000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2016,2016,An,8957.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2017,2017,An,8947.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2018,2018,An,8946.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2019,2019,An,8973.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2020,2020,An,8994.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2021,2021,An,9010.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5111,Stocks,1107,Asses,2022,2022,An,9025.0,I,Imputed value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1992,1992,No,270000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1993,1993,No,300000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1994,1994,No,250000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1995,1995,No,200000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1996,1996,No,272000.0,A,Official figure,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1997,1997,No,240000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1998,1998,No,232000.0,A,Official figure,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,1999,1999,No,200000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,2000,2000,No,190000.0,E,Estimated value,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,2001,2001,No,191700.0,A,Official figure,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,2002,2002,No,196100.0,A,Official figure,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,2003,2003,No,184600.0,A,Official figure,
QCL,Crops and livestock products,57,Belarus,5114,Stocks,1181,Bees,2004,2004,No,161700.0,A,Official figure,
