Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1961,1961,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1961,1961,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1962,1962,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1962,1962,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1963,1963,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1963,1963,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1964,1964,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1964,1964,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1965,1965,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1965,1965,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1966,1966,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1966,1966,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1967,1967,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1967,1967,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1968,1968,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1968,1968,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1969,1969,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1969,1969,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1970,1970,ha,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5510,Production,226,Areca nuts,1970,1970,t,0,A,Official figure,
QCL,Crops and livestock products,216,Thailand,5312,Area harvested,226,Areca nuts,1971,1971,ha,0,A,Official figure,
