Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1961,1961,An,53013,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1962,1962,An,55494,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1963,1963,An,44796,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1964,1964,An,49000,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1965,1965,An,46449,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1966,1966,An,42101,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1967,1967,An,58945,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1968,1968,An,42006,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1969,1969,An,43302,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1970,1970,An,89700,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1971,1971,An,90000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1972,1972,An,95000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1973,1973,An,99900,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1974,1974,An,104100,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1975,1975,An,92700,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1976,1976,An,89400,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1977,1977,An,86014,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1978,1978,An,87867,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1979,1979,An,85238,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1980,1980,An,104922,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1981,1981,An,97540,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1982,1982,An,110893,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1983,1983,An,107426,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1984,1984,An,109000,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1985,1985,An,111726,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1986,1986,An,136470,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1987,1987,An,147580,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1988,1988,An,130830,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1989,1989,An,150801,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1990,1990,An,155000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1991,1991,An,150000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1992,1992,An,145000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1993,1993,An,138985,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1994,1994,An,140105,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1995,1995,An,146000,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1996,1996,An,153200,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1997,1997,An,144165,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1998,1998,An,153074,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,1999,1999,An,203368,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2000,2000,An,179391,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2001,2001,An,156824,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2002,2002,An,141998,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2003,2003,An,143436,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2004,2004,An,84636,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2005,2005,An,168645,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2006,2006,An,172364,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2007,2007,An,172364,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2008,2008,An,136455,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2009,2009,An,159713,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2010,2010,An,136355,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2011,2011,An,132000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2012,2012,An,128000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2013,2013,An,101456,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2014,2014,An,103559,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2015,2015,An,113778,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2016,2016,An,113988,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2017,2017,An,124788,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2018,2018,An,117063,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2019,2019,An,101980,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2020,2020,An,88853,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2021,2021,An,97490,I,Imputed value,
QCL,Crops and livestock products,122,Lesotho,5111,Stocks,1107,Asses,2022,2022,An,96108,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1961,1961,ha,3885,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1961,1961,100 g/ha,8420,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1961,1961,t,3271,A,Official figure,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1962,1962,ha,4000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1962,1962,100 g/ha,7000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1962,1962,t,2800,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1963,1963,ha,4000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1963,1963,100 g/ha,6000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1963,1963,t,2400,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1964,1964,ha,3500,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1964,1964,100 g/ha,5714,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1964,1964,t,2000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1965,1965,ha,3000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1965,1965,100 g/ha,6000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1965,1965,t,1800,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1966,1966,ha,2500,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1966,1966,100 g/ha,6400,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1966,1966,t,1600,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1967,1967,ha,2500,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1967,1967,100 g/ha,5200,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1967,1967,t,1300,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1968,1968,ha,2000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5419,Yield,44,Barley,1968,1968,100 g/ha,5000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5510,Production,44,Barley,1968,1968,t,1000,E,Estimated value,
QCL,Crops and livestock products,122,Lesotho,5312,Area harvested,44,Barley,1969,1969,ha,1419,A,Official figure,
