Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1961,1961,3050,FAO TIER 1,An,121420,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1962,1962,3050,FAO TIER 1,An,110660,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1963,1963,3050,FAO TIER 1,An,114308,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1964,1964,3050,FAO TIER 1,An,119865,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1965,1965,3050,FAO TIER 1,An,123310,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1966,1966,3050,FAO TIER 1,An,124301,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1967,1967,3050,FAO TIER 1,An,117453,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1968,1968,3050,FAO TIER 1,An,118283,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1969,1969,3050,FAO TIER 1,An,120800,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1970,1970,3050,FAO TIER 1,An,123955,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1971,1971,3050,FAO TIER 1,An,127148,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1972,1972,3050,FAO TIER 1,An,134747,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1973,1973,3050,FAO TIER 1,An,132988,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1974,1974,3050,FAO TIER 1,An,128401,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1975,1975,3050,FAO TIER 1,An,110000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1976,1976,3050,FAO TIER 1,An,90200,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1977,1977,3050,FAO TIER 1,An,70000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1978,1978,3050,FAO TIER 1,An,50000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1979,1979,3050,FAO TIER 1,An,30000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1980,1980,3050,FAO TIER 1,An,24600,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1981,1981,3050,FAO TIER 1,An,25000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1982,1982,3050,FAO TIER 1,An,28000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1983,1983,3050,FAO TIER 1,An,30000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1984,1984,3050,FAO TIER 1,An,32000,E,Estimated value,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1985,1985,3050,FAO TIER 1,An,35185,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1986,1986,3050,FAO TIER 1,An,36195,A,Official figure,
GLE,Emissions from Livestock,176,Timor-Leste,5111,Stocks,946,Buffalo,1987,1987,3050,FAO TIER 1,An,36584,A,Official figure,
