Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1961,1961,3050,FAO TIER 1,An,500000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1962,1962,3050,FAO TIER 1,An,550000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1963,1963,3050,FAO TIER 1,An,600000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1964,1964,3050,FAO TIER 1,An,641000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1965,1965,3050,FAO TIER 1,An,630000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1966,1966,3050,FAO TIER 1,An,650000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1967,1967,3050,FAO TIER 1,An,700000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1968,1968,3050,FAO TIER 1,An,780000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1969,1969,3050,FAO TIER 1,An,800000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1970,1970,3050,FAO TIER 1,An,835000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1971,1971,3050,FAO TIER 1,An,700000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1972,1972,3050,FAO TIER 1,An,580000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1973,1973,3050,FAO TIER 1,An,445000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1974,1974,3050,FAO TIER 1,An,445000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1975,1975,3050,FAO TIER 1,An,445000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1976,1976,3050,FAO TIER 1,An,445000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1977,1977,3050,FAO TIER 1,An,469000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1978,1978,3050,FAO TIER 1,An,429000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1979,1979,3050,FAO TIER 1,An,529000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1980,1980,3050,FAO TIER 1,An,475000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1981,1981,3050,FAO TIER 1,An,476000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1982,1982,3050,FAO TIER 1,An,478000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1983,1983,3050,FAO TIER 1,An,479000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1984,1984,3050,FAO TIER 1,An,578209,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1985,1985,3050,FAO TIER 1,An,605000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1986,1986,3050,FAO TIER 1,An,634000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1987,1987,3050,FAO TIER 1,An,664000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1988,1988,3050,FAO TIER 1,An,698000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1989,1989,3050,FAO TIER 1,An,733000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1990,1990,3050,FAO TIER 1,An,772000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1991,1991,3050,FAO TIER 1,An,807000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1992,1992,3050,FAO TIER 1,An,832000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1993,1993,3050,FAO TIER 1,An,866000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1994,1994,3050,FAO TIER 1,An,874000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1995,1995,3050,FAO TIER 1,An,882000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1996,1996,3050,FAO TIER 1,An,860000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1997,1997,3050,FAO TIER 1,An,854000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1998,1998,3050,FAO TIER 1,An,820000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,1999,1999,3050,FAO TIER 1,An,850000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2000,2000,3050,FAO TIER 1,An,890000,X,Figure from international organizations,Unofficial figure
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2001,2001,3050,FAO TIER 1,An,920000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2002,2002,3050,FAO TIER 1,An,970000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2003,2003,3050,FAO TIER 1,An,1010000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2004,2004,3050,FAO TIER 1,An,1060000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2005,2005,3050,FAO TIER 1,An,1110000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2006,2006,3050,FAO TIER 1,An,1160000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2006,2006,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2007,2007,3050,FAO TIER 1,An,1210000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2007,2007,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2008,2008,3050,FAO TIER 1,An,1260000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2008,2008,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2009,2009,3050,FAO TIER 1,An,1304000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2009,2009,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2010,2010,3050,FAO TIER 1,An,1349000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2010,2010,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2011,2011,3050,FAO TIER 1,An,1394000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2011,2011,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2012,2012,3050,FAO TIER 1,An,1443000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2012,2012,3051,UNFCCC,An,1,A,Official figure,NC/CRF/BUR
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2013,2013,3050,FAO TIER 1,An,1465000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2014,2014,3050,FAO TIER 1,An,1457000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2015,2015,3050,FAO TIER 1,An,1464000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2016,2016,3050,FAO TIER 1,An,1471000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2017,2017,3050,FAO TIER 1,An,1478000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2018,2018,3050,FAO TIER 1,An,1485000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2019,2019,3050,FAO TIER 1,An,1490000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2020,2020,3050,FAO TIER 1,An,1493000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2021,2021,3050,FAO TIER 1,An,1500000,A,Official figure,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2030,2030,3050,FAO TIER 1,An,1240800,F,Forecast value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,946,Buffalo,2050,2050,3050,FAO TIER 1,An,1348190,F,Forecast value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1961,1961,3050,FAO TIER 1,An,2370000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1962,1962,3050,FAO TIER 1,An,2380000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1963,1963,3050,FAO TIER 1,An,2400000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1964,1964,3050,FAO TIER 1,An,2400000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1965,1965,3050,FAO TIER 1,An,2480000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1966,1966,3050,FAO TIER 1,An,2480000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1967,1967,3050,FAO TIER 1,An,2540000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1968,1968,3050,FAO TIER 1,An,2600000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1969,1969,3050,FAO TIER 1,An,2660000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1970,1970,3050,FAO TIER 1,An,2740940,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1971,1971,3050,FAO TIER 1,An,2740000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1972,1972,3050,FAO TIER 1,An,2737644,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1973,1973,3050,FAO TIER 1,An,2739072,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1974,1974,3050,FAO TIER 1,An,2785988,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1975,1975,3050,FAO TIER 1,An,2823632,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1976,1976,3050,FAO TIER 1,An,3119972,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1977,1977,3050,FAO TIER 1,An,3169988,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1978,1978,3050,FAO TIER 1,An,3658180,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1979,1979,3050,FAO TIER 1,An,3772412,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1980,1980,3050,FAO TIER 1,An,3735000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1981,1981,3050,FAO TIER 1,An,3822000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1982,1982,3050,FAO TIER 1,An,3833000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1983,1983,3050,FAO TIER 1,An,3883000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1984,1984,3050,FAO TIER 1,An,3398594,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1985,1985,3050,FAO TIER 1,An,3434000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1986,1986,3050,FAO TIER 1,An,3469000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1987,1987,3050,FAO TIER 1,An,3504000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1988,1988,3050,FAO TIER 1,An,3540000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1989,1989,3050,FAO TIER 1,An,3573000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1990,1990,3050,FAO TIER 1,An,3615000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1991,1991,3050,FAO TIER 1,An,3618000,E,Estimated value,
GLE,Emissions from Livestock,16,Bangladesh,5111,Stocks,960,"Cattle, dairy",1992,1992,3050,FAO TIER 1,An,3655000,E,Estimated value,
