Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1961,1961,ha,450,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1961,1961,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1961,1961,t,1800,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1962,1962,ha,470,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1962,1962,100 g/ha,39362,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1962,1962,t,1850,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1963,1963,ha,500,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1963,1963,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1963,1963,t,2000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1964,1964,ha,530,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1964,1964,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1964,1964,t,2120,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1965,1965,ha,560,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1965,1965,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1965,1965,t,2240,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1966,1966,ha,600,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1966,1966,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1966,1966,t,2400,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1967,1967,ha,620,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1967,1967,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1967,1967,t,2480,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1968,1968,ha,650,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1968,1968,100 g/ha,40000,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1968,1968,t,2600,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1969,1969,ha,660,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1969,1969,100 g/ha,40152,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1969,1969,t,2650,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5312,Area harvested,486,Bananas,1970,1970,ha,680,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5419,Yield,486,Bananas,1970,1970,100 g/ha,40441,E,Estimated value,
QCL,Crops and livestock products,83,Kiribati,5510,Production,486,Bananas,1970,1970,t,2750,E,Estimated value,
