Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1980,1980,3050,FAO TIER 1,An,118300,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1981,1981,3050,FAO TIER 1,An,121400,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1982,1982,3050,FAO TIER 1,An,130000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1983,1983,3050,FAO TIER 1,An,171000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1984,1984,3050,FAO TIER 1,An,163000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1985,1985,3050,FAO TIER 1,An,170000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1986,1986,3050,FAO TIER 1,An,177000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1987,1987,3050,FAO TIER 1,An,184000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1988,1988,3050,FAO TIER 1,An,191800,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1989,1989,3050,FAO TIER 1,An,199600,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1990,1990,3050,FAO TIER 1,An,207600,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1991,1991,3050,FAO TIER 1,An,214000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1992,1992,3050,FAO TIER 1,An,216000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1993,1993,3050,FAO TIER 1,An,218000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1994,1994,3050,FAO TIER 1,An,214616,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1995,1995,3050,FAO TIER 1,An,218425,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1996,1996,3050,FAO TIER 1,An,220000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1997,1997,3050,FAO TIER 1,An,230000,E,Estimated value,
GLE,Emissions from Livestock,37,Central African Republic,5111,Stocks,960,"Cattle, dairy",1998,1998,3050,FAO TIER 1,An,230258,E,Estimated value,
