Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1961,1961,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1961,1961,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1961,1961,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1962,1962,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1962,1962,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1962,1962,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1963,1963,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1963,1963,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1963,1963,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1964,1964,ha,800,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1964,1964,100 g/ha,75000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1964,1964,t,6000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1965,1965,ha,800,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1965,1965,100 g/ha,75000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1965,1965,t,6000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1966,1966,ha,800,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1966,1966,100 g/ha,75000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1966,1966,t,6000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1967,1967,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1967,1967,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1967,1967,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1968,1968,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1968,1968,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1968,1968,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1969,1969,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1969,1969,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1969,1969,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1970,1970,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1970,1970,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1970,1970,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1971,1971,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1971,1971,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1971,1971,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1972,1972,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1972,1972,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1972,1972,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1973,1973,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1973,1973,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1973,1973,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1974,1974,ha,800,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1974,1974,100 g/ha,77500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1974,1974,t,6200,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1975,1975,ha,800,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1975,1975,100 g/ha,77500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1975,1975,t,6200,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1976,1976,ha,900,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1976,1976,100 g/ha,72222,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1976,1976,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1977,1977,ha,850,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1977,1977,100 g/ha,76471,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1977,1977,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1978,1978,ha,850,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1978,1978,100 g/ha,76471,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1978,1978,t,6500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1979,1979,ha,850,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1979,1979,100 g/ha,70588,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1979,1979,t,6000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1980,1980,ha,850,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1980,1980,100 g/ha,70588,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1980,1980,t,6000,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1981,1981,ha,700,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1981,1981,100 g/ha,78571,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1981,1981,t,5500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1982,1982,ha,700,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1982,1982,100 g/ha,78571,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5510,Production,572,Avocados,1982,1982,t,5500,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5312,Area harvested,572,Avocados,1983,1983,ha,750,E,Estimated value,
QCL,Crops and livestock products,46,Congo,5419,Yield,572,Avocados,1983,1983,100 g/ha,73333,E,Estimated value,
